Rule 21:
If mother ?b, then parent ?b.
Emmanuel Philibert Duke of Savoy has parent Beatrice of Portugal Duchess of Savoy, Emmanuel Philibert Duke of Savoy has mother Beatrice of Portugal Duchess of Savoy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles V Duke of Lorraine has parent Claude Fran oise de Lorraine, Charles V Duke of Lorraine has mother Claude Fran oise de Lorraine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Alice Holland Countess of Kent has parent Eleanor of Lancaster, Alice Holland Countess of Kent has mother Eleanor of Lancaster The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles IV of France has parent Joan I of Navarre, Charles IV of France has mother Joan I of Navarre The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabella of France has parent Joan I of Navarre, Isabella of France has mother Joan I of Navarre The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret of the Palatinate has parent Elisabeth of Nuremberg, Margaret of the Palatinate has mother Elisabeth of Nuremberg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis XV, Louis XV has mother Marie Ad la de of Savoy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Francis I Duke of Lorraine has parent Ren e of Bourbon, Francis I Duke of Lorraine has mother Ren e of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Nicolas Duke of Merc ur has parent Ren e of Bourbon, Nicolas Duke of Merc ur has mother Ren e of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ramon Berenguer IV Count of Barcelona, Ramon Berenguer IV Count of Barcelona has mother Douce I Countess of Provence The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Berengaria of Barcelona has parent Douce I Countess of Provence, Berengaria of Barcelona has mother Douce I Countess of Provence The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Rozala of Italy has parent Willa of Tuscany, Rozala of Italy has mother Willa of Tuscany The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ernest I Duke of Brunswic L neburg has parent Margaret of Saxony Duchess of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has mother Margaret of Saxony Duchess of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Adelaide of Aquitaine, Adelaide of Aquitaine has mother Gerloc The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
William IV Duke of Aquitaine has parent Gerloc, William IV Duke of Aquitaine has mother Gerloc The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Archduchess Anna of Austria has parent Anne of Bohemia and Hungary, Archduchess Anna of Austria has mother Anne of Bohemia and Hungary The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Joanna of Austria Grand Duchess of Tuscany, Joanna of Austria Grand Duchess of Tuscany has mother Anne of Bohemia and Hungary The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor has parent Anne of Bohemia and Hungary, Maximilian II Holy Roman Emperor has mother Anne of Bohemia and Hungary The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria of Austria Duchess of J lich Cleves Berg has parent Anne of Bohemia and Hungary, Maria of Austria Duchess of J lich Cleves Berg has mother Anne of Bohemia and Hungary The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Mahaut Countess of Artois has parent Amicie de Courtenay, Mahaut Countess of Artois has mother Amicie de Courtenay The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Beatrice of Savoy has parent Maria Theresa of Austria Este Queen of Sardinia, Maria Beatrice of Savoy has mother Maria Theresa of Austria Este Queen of Sardinia The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Theresa of Austria Este Queen of Sardinia has parent Maria Beatrice d Este Duchess of Massa, Maria Theresa of Austria Este Queen of Sardinia has mother Maria Beatrice d Este Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
John I of France has parent Clementia of Hungary, John I of France has mother Clementia of Hungary The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Maria Theresa has parent Elisabeth Christine of Brunswic Wolfenb ttel, Maria Theresa has mother Elisabeth Christine of Brunswic Wolfenb ttel The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabella de Beauchamp has parent Maud FitzJohn Countess of Warwick, Isabella de Beauchamp has mother Maud FitzJohn Countess of Warwick The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Isabella I of Castile, Isabella I of Castile has mother Isabella of Portugal Queen of Castile The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Christine of Saxony, Christine of Saxony has mother Barbara Jagiellon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Henry II of England has parent Empress Matilda, Henry II of England has mother Empress Matilda The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Philip V of Spain has parent Maria Anna Victoria of Bavaria, Philip V of Spain has mother Maria Anna Victoria of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louis Duke of Burgundy has parent Maria Anna Victoria of Bavaria, Louis Duke of Burgundy has mother Maria Anna Victoria of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Princess Marie Isabelle of Orl ans has parent Infanta Luisa Fernanda Duchess of Montpensier, Princess Marie Isabelle of Orl ans has mother Infanta Luisa Fernanda Duchess of Montpensier The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
John King of England has parent Eleanor of Aquitaine, John King of England has mother Eleanor of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Eleanor of England Queen of Castile, Eleanor of England Queen of Castile has mother Eleanor of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Margaret Stewart Dauphine of France has parent Joan Beaufort Queen of Scots, Margaret Stewart Dauphine of France has mother Joan Beaufort Queen of Scots The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
James II of Scotland has parent Joan Beaufort Queen of Scots, James II of Scotland has mother Joan Beaufort Queen of Scots The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Louise Marie Ad la de de Bourbon Duchess of Orl ans, Louise Marie Ad la de de Bourbon Duchess of Orl ans has mother Maria Teresa Felicitas d Este The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Joan III Countess of Burgundy has parent Joan II Countess of Burgundy, Joan III Countess of Burgundy has mother Joan II Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Ferdinand II of Le n, Ferdinand II of Le n has mother Berengaria of Barcelona The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Maximilian I Holy Roman Emperor has parent Eleanor of Portugal Holy Roman Empress, Maximilian I Holy Roman Emperor has mother Eleanor of Portugal Holy Roman Empress The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Antoine Count of Vaud mont has parent Margaret of Joinville, Antoine Count of Vaud mont has mother Margaret of Joinville The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Otto I Duke of Brunswic L neburg has parent Helena of Denmark, Otto I Duke of Brunswic L neburg has mother Helena of Denmark The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles Duke of Orl ans has parent Valentina Visconti Duchess of Orl ans, Charles Duke of Orl ans has mother Valentina Visconti Duchess of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Baldwin II Count of Hainaut has parent Richilde Countess of Hainaut, Baldwin II Count of Hainaut has mother Richilde Countess of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret of Valois Angoul me has parent Louise of Savoy, Margaret of Valois Angoul me has mother Louise of Savoy The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Catherine of Vend me has parent Joan of Ponthieu Dame of Epernon, Catherine of Vend me has mother Joan of Ponthieu Dame of Epernon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret of Valois has parent Catherine de Medici, Margaret of Valois has mother Catherine de Medici The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry III of France has parent Catherine de Medici, Henry III of France has mother Catherine de Medici The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles IX of France has parent Catherine de Medici, Charles IX of France has mother Catherine de Medici The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Francis II of France, Francis II of France has mother Catherine de Medici The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Louis XI has parent Marie of Anjou, Louis XI has mother Marie of Anjou The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Benedicta Henrietta of the Palatinate has parent Anne Gonzaga, Benedicta Henrietta of the Palatinate has mother Anne Gonzaga The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles Count of Valois has parent Isabella of Aragon Queen of France, Charles Count of Valois has mother Isabella of Aragon Queen of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Margaret I Countess of Flanders, Margaret I Countess of Flanders has mother Sibylla of Anjou The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Maria Antonia Ferdinanda of Spain has parent Elisabeth Farnese, Maria Antonia Ferdinanda of Spain has mother Elisabeth Farnese The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Charles III of Spain, Charles III of Spain has mother Elisabeth Farnese The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: no
Henry VII of England has parent Lady Margaret Beaufort, Henry VII of England has mother Lady Margaret Beaufort The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Madeleine de La Tour d Auvergne has parent Jeanne de Bourbon Duchess of Bourbon, Madeleine de La Tour d Auvergne has mother Jeanne de Bourbon Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Baldwin VI Count of Flanders has parent Adela of France, Baldwin VI Count of Flanders has mother Adela of France The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Henry IX Duke of Bavaria has parent Judith of Flanders died 1095, Henry IX Duke of Bavaria has mother Judith of Flanders died 1095 The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Joan Countess of Ponthieu has parent Marie Countess of Ponthieu, Joan Countess of Ponthieu has mother Marie Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Otto William Count of Burgundy has parent Gerberga of M con, Otto William Count of Burgundy has mother Gerberga of M con The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
Prince Philippe Count of Paris has parent Duchess Helene of Mecklenburg Schwerin, Prince Philippe Count of Paris has mother Duchess Helene of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.9258 >= threshold 0.5) Answer: yes
