Rule 3:
If mother ?a, then successor ?b.
Ren e of Bourbon, Francis I Duke of Lorraine has mother Ren e of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Ren e of Bourbon, Nicolas Duke of Merc ur has mother Ren e of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Douce I Countess of Provence, Ramon Berenguer IV Count of Barcelona has mother Douce I Countess of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Douce I Countess of Provence, Berengaria of Barcelona has mother Douce I Countess of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Willa of Tuscany, Rozala of Italy has mother Willa of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Saxony Duchess of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has mother Margaret of Saxony Duchess of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gerloc, Adelaide of Aquitaine has mother Gerloc. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Gerloc, William IV Duke of Aquitaine has mother Gerloc. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Bohemia and Hungary, Archduchess Anna of Austria has mother Anne of Bohemia and Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Bohemia and Hungary, Joanna of Austria Grand Duchess of Tuscany has mother Anne of Bohemia and Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Bohemia and Hungary, Maximilian II Holy Roman Emperor has mother Anne of Bohemia and Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Bohemia and Hungary, Maria of Austria Duchess of J lich Cleves Berg has mother Anne of Bohemia and Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Amicie de Courtenay, Mahaut Countess of Artois has mother Amicie de Courtenay. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Theresa of Austria Este Queen of Sardinia, Maria Beatrice of Savoy has mother Maria Theresa of Austria Este Queen of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa, Maria Theresa of Austria Este Queen of Sardinia has mother Maria Beatrice d Este Duchess of Massa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Clementia of Hungary, John I of France has mother Clementia of Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elisabeth Christine of Brunswic Wolfenb ttel, Maria Theresa has mother Elisabeth Christine of Brunswic Wolfenb ttel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maud FitzJohn Countess of Warwick, Isabella de Beauchamp has mother Maud FitzJohn Countess of Warwick. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella of Portugal Queen of Castile, Isabella I of Castile has mother Isabella of Portugal Queen of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Barbara Jagiellon, Christine of Saxony has mother Barbara Jagiellon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Empress Matilda, Henry II of England has mother Empress Matilda. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Anna Victoria of Bavaria, Philip V of Spain has mother Maria Anna Victoria of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Anna Victoria of Bavaria, Louis Duke of Burgundy has mother Maria Anna Victoria of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Infanta Luisa Fernanda Duchess of Montpensier, Princess Marie Isabelle of Orl ans has mother Infanta Luisa Fernanda Duchess of Montpensier. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Aquitaine has successor John King of England, John King of England has mother Eleanor of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Eleanor of Aquitaine, Eleanor of England Queen of Castile has mother Eleanor of Aquitaine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, Margaret Stewart Dauphine of France has mother Joan Beaufort Queen of Scots. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, James II of Scotland has mother Joan Beaufort Queen of Scots. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Maria Teresa Felicitas d Este, Louise Marie Ad la de de Bourbon Duchess of Orl ans has mother Maria Teresa Felicitas d Este. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan II Countess of Burgundy has successor Joan III Countess of Burgundy, Joan III Countess of Burgundy has mother Joan II Countess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Berengaria of Barcelona, Ferdinand II of Le n has mother Berengaria of Barcelona. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Eleanor of Portugal Holy Roman Empress, Maximilian I Holy Roman Emperor has mother Eleanor of Portugal Holy Roman Empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Margaret of Joinville, Antoine Count of Vaud mont has mother Margaret of Joinville. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Helena of Denmark, Otto I Duke of Brunswic L neburg has mother Helena of Denmark. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Valentina Visconti Duchess of Orl ans, Charles Duke of Orl ans has mother Valentina Visconti Duchess of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Richilde Countess of Hainaut, Baldwin II Count of Hainaut has mother Richilde Countess of Hainaut. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Louise of Savoy, Margaret of Valois Angoul me has mother Louise of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joan of Ponthieu Dame of Epernon, Catherine of Vend me has mother Joan of Ponthieu Dame of Epernon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Catherine de Medici, Margaret of Valois has mother Catherine de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Catherine de Medici, Henry III of France has mother Catherine de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Catherine de Medici, Charles IX of France has mother Catherine de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Catherine de Medici, Francis II of France has mother Catherine de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie of Anjou, Louis XI has mother Marie of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne Gonzaga, Benedicta Henrietta of the Palatinate has mother Anne Gonzaga. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella of Aragon Queen of France, Charles Count of Valois has mother Isabella of Aragon Queen of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Sibylla of Anjou, Margaret I Countess of Flanders has mother Sibylla of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elisabeth Farnese, Maria Antonia Ferdinanda of Spain has mother Elisabeth Farnese. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Elisabeth Farnese, Charles III of Spain has mother Elisabeth Farnese. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Lady Margaret Beaufort, Henry VII of England has mother Lady Margaret Beaufort. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Jeanne de Bourbon Duchess of Bourbon, Madeleine de La Tour d Auvergne has mother Jeanne de Bourbon Duchess of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Adela of France, Baldwin VI Count of Flanders has mother Adela of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Judith of Flanders died 1095, Henry IX Duke of Bavaria has mother Judith of Flanders died 1095. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Marie Countess of Ponthieu has successor Joan Countess of Ponthieu, Joan Countess of Ponthieu has mother Marie Countess of Ponthieu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Gerberga of M con, Otto William Count of Burgundy has mother Gerberga of M con. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Duchess Helene of Mecklenburg Schwerin, Prince Philippe Count of Paris has mother Duchess Helene of Mecklenburg Schwerin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Anne of Kiev, Philip I of France has mother Anne of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Isabella of Valois Duchess of Bourbon, Joanna of Bourbon has mother Isabella of Valois Duchess of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Beatrice of Silesia, Stephen II Duke of Bavaria has mother Beatrice of Silesia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Agnes of Loon, Louis I Duke of Bavaria has mother Agnes of Loon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joanna of Castile, Eleanor of Austria has mother Joanna of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joanna of Castile has successor Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has mother Joanna of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: yes
Beatrice Regina della Scala, Taddea Visconti has mother Beatrice Regina della Scala. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joanna of Bourbon, Charles VI of France has mother Joanna of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Joanna of Bourbon, Louis I Duke of Orl ans has mother Joanna of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
Louise Marie Ad la de de Bourbon Duchess of Orl ans, Louis Philippe I has mother Louise Marie Ad la de de Bourbon Duchess of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4231 < threshold 0.5) Answer: no
